Company_Name,Website,Country,Industry
Apple Inc,https://www.apple.com,United States,Technology
BMW Group,https://www.bmw.de,Germany,Automotive
Unilever,https://www.unilever.com,United Kingdom,Consumer Goods
Nestlé SA,https://www.nestle.com,Switzerland,Food & Beverage
SAP SE,https://www.sap.com,Germany,Software
ASML Holding,https://www.asml.com,Netherlands,Technology
Spotify,https://www.spotify.com,Sweden,Entertainment
LVMH,https://www.lvmh.com,France,Luxury Goods
Siemens AG,https://www.siemens.com,Germany,Industrial
ING Group,https://www.ing.com,Netherlands,Financial Services 